-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in UTC
Location: Latitude  50.8503   Longitude 4.3517 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 36.84 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
PS                    MERRA-2 Surface Pressure (kPa) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
-END HEADER-
YEAR,MO,DY,HR,T2M,RH2M,WS10M,WD10M,PS,ALLSKY_SFC_SW_DWN
2025,1,1,0,3.44,94.43,11.06,209.8,101.46,0.0
2025,1,1,1,3.41,94.17,11.15,210.6,101.41,0.0
2025,1,1,2,3.45,93.26,11.36,211.2,101.39,0.0
2025,1,1,3,3.61,92.37,11.37,211.1,101.34,0.0
2025,1,1,4,3.64,91.71,11.43,210.7,101.28,0.0
2025,1,1,5,3.53,91.13,12.05,212.9,101.2,0.0
2025,1,1,6,2.99,91.64,12.22,211.5,101.15,0.0
2025,1,1,7,2.59,91.78,12.37,210.0,101.06,0.0
2025,1,1,8,2.48,91.32,12.64,208.6,100.97,13.95
2025,1,1,9,2.67,90.04,12.91,208.2,100.92,31.25
2025,1,1,10,3.27,88.53,13.2,208.6,100.86,39.03
2025,1,1,11,4.29,87.36,13.77,209.8,100.75,38.08
2025,1,1,12,5.47,86.41,14.61,214.5,100.63,24.98
2025,1,1,13,6.47,86.2,14.72,215.7,100.52,20.17
2025,1,1,14,6.86,86.43,14.92,216.4,100.43,10.2
2025,1,1,15,6.83,87.19,14.89,217.1,100.36,2.92
2025,1,1,16,6.88,87.33,14.88,217.8,100.31,0.0
2025,1,1,17,6.86,88.07,14.67,220.0,100.28,0.0
2025,1,1,18,6.78,90.04,13.37,224.1,100.3,0.0
2025,1,1,19,6.66,92.46,10.63,231.4,100.34,0.0
2025,1,1,20,6.48,94.31,7.91,240.8,100.38,0.0
2025,1,1,21,5.9,95.63,6.3,255.7,100.43,0.0
2025,1,1,22,5.09,96.11,5.31,268.9,100.5,0.0
2025,1,1,23,4.25,96.16,4.66,270.5,100.55,0.0
2025,1,2,0,3.56,96.07,4.42,262.3,100.57,0.0
2025,1,2,1,2.89,96.48,4.53,255.3,100.59,0.0
2025,1,2,2,2.63,96.56,4.72,253.9,100.61,0.0
2025,1,2,3,2.89,96.51,4.62,258.0,100.62,0.0
2025,1,2,4,2.99,97.76,3.98,264.4,100.63,0.0
2025,1,2,5,3.0,99.0,3.41,276.1,100.68,0.0
2025,1,2,6,2.82,100.0,2.64,291.6,100.72,0.0
2025,1,2,7,2.38,100.0,2.32,304.4,100.77,0.0
2025,1,2,8,2.75,100.0,2.1,316.7,100.83,32.33
2025,1,2,9,4.34,95.31,2.2,323.7,100.91,83.7
2025,1,2,10,5.22,91.5,2.71,326.1,100.97,125.12
2025,1,2,11,5.76,88.5,3.15,324.3,100.99,142.27
2025,1,2,12,5.9,86.61,3.71,324.2,100.99,154.35
2025,1,2,13,5.62,88.14,3.9,320.8,101.0,124.55
2025,1,2,14,4.72,93.13,3.4,315.1,101.04,71.78
2025,1,2,15,3.02,98.63,3.28,312.5,101.1,12.23
2025,1,2,16,2.31,100.0,3.64,310.2,101.16,0.0
2025,1,2,17,2.02,99.41,3.66,307.9,101.23,0.0
2025,1,2,18,1.97,98.46,3.66,304.3,101.3,0.0
2025,1,2,19,2.19,96.53,3.84,303.3,101.36,0.0
2025,1,2,20,2.29,95.0,4.05,301.7,101.42,0.0
2025,1,2,21,2.15,93.94,4.24,299.0,101.46,0.0
2025,1,2,22,1.77,93.29,4.31,293.2,101.49,0.0
2025,1,2,23,1.32,93.71,4.58,286.4,101.51,0.0
2025,1,3,0,1.2,93.3,5.1,282.1,101.51,0.0
2025,1,3,1,1.15,93.89,5.41,280.2,101.52,0.0
2025,1,3,2,1.12,94.6,5.47,277.7,101.53,0.0
2025,1,3,3,1.04,95.39,5.32,273.3,101.53,0.0
2025,1,3,4,0.92,95.72,5.26,271.7,101.53,0.0
2025,1,3,5,0.68,95.38,5.13,273.6,101.54,0.0
2025,1,3,6,0.22,95.22,4.96,276.3,101.56,0.0
2025,1,3,7,-0.51,96.23,4.63,275.6,101.58,0.0
2025,1,3,8,-0.24,93.04,4.93,269.9,101.6,50.33
2025,1,3,9,0.9,88.96,5.54,262.6,101.62,133.62
2025,1,3,10,2.02,86.69,5.69,254.6,101.62,199.85
2025,1,3,11,3.28,80.08,6.62,263.1,101.59,231.43
2025,1,3,12,4.0,77.28,6.97,270.0,101.54,221.0
2025,1,3,13,4.09,80.14,6.59,272.0,101.52,176.3
2025,1,3,14,3.85,84.13,6.22,272.3,101.52,97.8
2025,1,3,15,3.38,87.82,6.14,272.9,101.54,15.02
2025,1,3,16,3.04,91.05,6.11,273.4,101.57,0.0
2025,1,3,17,2.88,93.41,5.89,275.1,101.59,0.0
2025,1,3,18,2.8,94.84,5.5,277.9,101.63,0.0
2025,1,3,19,2.64,96.17,4.78,278.7,101.65,0.0
2025,1,3,20,2.21,98.29,3.98,275.9,101.68,0.0
2025,1,3,21,1.69,99.91,3.5,272.0,101.71,0.0
2025,1,3,22,1.47,100.0,3.4,269.2,101.73,0.0
2025,1,3,23,1.26,100.0,3.42,264.3,101.73,0.0
2025,1,4,0,1.22,99.2,3.64,260.5,101.71,0.0
2025,1,4,1,1.02,99.14,3.67,257.3,101.69,0.0
2025,1,4,2,0.86,99.29,3.54,251.1,101.69,0.0
2025,1,4,3,0.72,99.27,3.36,239.2,101.68,0.0
2025,1,4,4,0.56,98.88,3.51,228.2,101.66,0.0
2025,1,4,5,0.4,98.21,3.86,219.6,101.65,0.0
2025,1,4,6,0.29,97.16,4.36,215.0,101.64,0.0
2025,1,4,7,-0.16,96.74,4.63,208.2,101.6,0.0
2025,1,4,8,-0.27,95.39,4.69,203.4,101.54,35.95
2025,1,4,9,0.05,92.64,4.59,203.8,101.5,90.6
2025,1,4,10,0.46,91.19,4.29,203.8,101.47,133.25
2025,1,4,11,0.91,89.94,4.06,202.5,101.39,154.48
2025,1,4,12,1.44,88.67,3.89,201.7,101.32,142.7
2025,1,4,13,1.81,87.22,3.73,200.6,101.26,112.95
2025,1,4,14,1.58,89.57,3.02,193.0,101.2,61.15
2025,1,4,15,0.3,95.57,2.33,179.5,101.13,11.55
2025,1,4,16,-0.14,97.14,2.63,168.8,101.06,0.0
2025,1,4,17,-0.21,96.57,2.85,160.7,101.0,0.0
2025,1,4,18,-0.18,94.92,3.42,152.8,100.93,0.0
2025,1,4,19,-0.07,92.91,4.12,145.3,100.83,0.0
2025,1,4,20,-0.19,92.1,4.52,140.2,100.7,0.0
2025,1,4,21,-0.36,91.96,4.45,139.4,100.61,0.0
2025,1,4,22,-0.45,91.96,4.93,135.1,100.45,0.0
2025,1,4,23,-0.69,92.49,5.28,130.7,100.24,0.0
2025,1,5,0,-0.76,92.32,4.97,126.1,100.08,0.0
2025,1,5,1,-0.81,92.86,5.0,111.5,99.94,0.0
2025,1,5,2,-0.77,93.21,5.71,100.6,99.75,0.0
2025,1,5,3,-0.68,93.99,6.67,98.4,99.55,0.0
2025,1,5,4,-0.01,92.65,6.87,112.2,99.34,0.0
2025,1,5,5,0.98,93.85,5.06,140.5,99.2,0.0
2025,1,5,6,1.68,96.05,3.63,159.4,99.11,0.0
2025,1,5,7,2.69,98.26,4.01,182.6,99.02,0.0
2025,1,5,8,4.51,99.1,5.79,202.9,98.94,16.3
2025,1,5,9,6.54,98.07,8.22,216.0,98.9,37.53
2025,1,5,10,7.92,97.05,9.7,217.6,98.9,48.5
2025,1,5,11,8.38,95.74,10.95,217.5,98.85,49.22
2025,1,5,12,8.66,94.87,10.92,218.3,98.8,36.55
2025,1,5,13,8.95,94.62,10.88,217.7,98.74,46.78
2025,1,5,14,9.25,94.72,10.92,218.4,98.71,31.98
2025,1,5,15,9.42,94.69,10.64,217.7,98.69,8.27
2025,1,5,16,9.37,94.45,10.25,213.2,98.67,0.0
2025,1,5,17,9.28,93.94,10.16,210.2,98.66,0.0
2025,1,5,18,9.24,93.76,9.92,204.7,98.63,0.0
2025,1,5,19,9.35,93.41,10.16,203.1,98.57,0.0
2025,1,5,20,9.52,92.96,10.64,205.0,98.51,0.0
2025,1,5,21,9.53,92.87,10.69,207.3,98.49,0.0
2025,1,5,22,9.52,92.64,10.64,207.4,98.46,0.0
2025,1,5,23,9.5,92.2,10.68,205.5,98.42,0.0
2025,1,6,0,9.45,91.51,10.76,203.3,98.34,0.0
2025,1,6,1,9.34,90.93,10.88,200.6,98.27,0.0
2025,1,6,2,9.15,90.55,10.95,197.8,98.21,0.0
2025,1,6,3,8.97,90.08,10.94,195.0,98.13,0.0
2025,1,6,4,8.85,89.64,11.12,192.6,98.05,0.0
2025,1,6,5,8.7,89.93,11.28,191.1,97.97,0.0
2025,1,6,6,8.77,90.01,11.55,189.9,97.92,0.0
2025,1,6,7,9.23,89.07,12.12,190.1,97.85,0.0
2025,1,6,8,9.96,86.9,12.88,190.8,97.77,17.38
2025,1,6,9,10.83,84.54,13.7,191.1,97.66,45.35
2025,1,6,10,11.73,81.69,14.62,192.9,97.54,80.75
2025,1,6,11,11.71,82.28,15.51,200.8,97.45,86.75
2025,1,6,12,9.95,82.94,15.95,223.8,97.54,86.97
2025,1,6,13,7.22,79.19,15.75,236.9,97.8,59.78
2025,1,6,14,6.12,79.82,14.74,242.1,98.05,41.58
2025,1,6,15,5.3,81.02,13.28,248.0,98.32,12.1
2025,1,6,16,4.72,83.46,11.3,246.5,98.55,0.0
2025,1,6,17,4.4,86.24,9.82,240.0,98.7,0.0
2025,1,6,18,4.18,89.21,8.54,231.4,98.81,0.0
2025,1,6,19,3.95,92.29,7.63,221.9,98.88,0.0
2025,1,6,20,3.98,93.69,7.51,214.9,98.92,0.0
2025,1,6,21,4.08,94.42,7.37,211.0,98.96,0.0
2025,1,6,22,4.03,95.52,6.84,206.5,98.95,0.0
2025,1,6,23,3.88,95.53,6.75,206.5,98.92,0.0
2025,1,7,0,3.59,95.66,7.13,216.7,98.88,0.0
2025,1,7,1,3.36,95.81,6.7,229.2,98.89,0.0
2025,1,7,2,3.23,96.14,6.17,239.5,98.95,0.0
2025,1,7,3,3.19,96.08,6.07,245.7,99.03,0.0
2025,1,7,4,3.23,96.5,6.25,245.3,99.1,0.0
2025,1,7,5,3.28,96.64,6.63,242.4,99.18,0.0
2025,1,7,6,3.04,96.92,6.6,238.2,99.27,0.0
2025,1,7,7,2.66,97.09,6.52,233.8,99.36,0.0
2025,1,7,8,2.59,95.93,6.72,229.5,99.44,24.23
