location,Bâle,Bâle,Bâle,Bâle
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Wind Speed,Wind Direction,Shortwave Radiation
unit,°C,km/h,°,W/m²
level,2 m elevation corrected,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Bâle Temperature [2 m elevation corrected],Bâle Wind Speed [10 m],Bâle Wind Direction [10 m],Bâle Shortwave Radiation
20250101T0000,-1.1097546,4.6938252,175.60129,0.0
20250101T0100,-1.2997546,3.6,180.0,0.0
20250101T0200,-1.5297545,4.3349743,175.23636,0.0
20250101T0300,-1.5997547,6.28713,166.75948,0.0
20250101T0400,-1.2197546,7.8625183,164.0546,0.0
20250101T0500,-0.87975454,8.557102,165.37912,0.0
20250101T0600,-0.04975462,8.905908,165.96376,0.0
20250101T0700,-0.07975459,8.557102,165.37912,0.0
20250101T0800,0.4502454,8.557102,165.37912,13.0
20250101T0900,2.2002454,9.422101,173.41806,100.0
20250101T1000,4.1402454,9.3669195,182.20259,201.0
20250101T1100,5.8302455,10.105681,184.08562,276.0
20250101T1200,7.380245,10.464798,183.94519,294.0
20250101T1300,8.380245,10.464798,183.94519,280.0
20250101T1400,8.510245,9.826088,188.42697,215.0
20250101T1500,7.500245,9.0645685,186.84277,115.0
20250101T1600,5.4702454,9.007196,182.2906,19.0
20250101T1700,4.7002454,9.779817,186.3402,0.0
20250101T1800,4.3302455,10.1376915,186.11551,0.0
20250101T1900,4.2102456,10.538843,187.85332,0.0
20250101T2000,3.9902453,10.594036,189.78241,0.0
20250101T2100,4.1202455,9.9571085,192.52881,0.0
20250101T2200,5.0902452,9.885262,190.49147,0.0
20250101T2300,5.230245,11.090103,193.13402,0.0
20250102T0000,5.610245,12.758432,196.38954,0.0
20250102T0100,5.900245,12.768586,201.50143,0.0
20250102T0200,6.2202454,12.55879,207.29958,0.0
20250102T0300,6.7402453,13.397612,210.69972,0.0
20250102T0400,7.3002453,16.199999,216.8699,0.0
20250102T0500,7.6202455,18.289274,216.1932,0.0
20250102T0600,7.630245,20.523157,217.87498,0.0
20250102T0700,8.030246,21.710716,220.29214,0.0
20250102T0800,8.390245,22.45315,221.0995,7.0
20250102T0900,9.370245,23.950148,222.56335,47.0
20250102T1000,9.290245,22.159746,226.97495,78.0
20250102T1100,8.910245,22.725668,229.49716,54.0
20250102T1200,8.280246,22.493519,230.19443,50.0
20250102T1300,7.670245,21.980644,238.3925,28.0
